Designator,Mid X,Mid Y,Rotation,Layer
C1,223.225,-51.0,0.0,top
C10,234.0,-58.48,90.0,top
C11,235.141404,-59.65206,90.0,top
C12,236.132815,-59.65206,90.0,top
C13,237.124227,-59.65206,90.0,top
C14,224.212032,-52.364848,180.0,top
C15,219.52,-70.0,0.0,top
C16,219.52,-68.5,0.0,top
C17,235.02,-55.0,0.0,top
C18,235.98,-46.5,180.0,top
C19,239.0,-46.02,270.0,top
C2,217.713526,-52.15451,180.0,top
C20,234.52,-52.5,0.0,top
C21,234.52,-51.5,0.0,top
C22,238.0,-46.02,270.0,top
C23,235.02,-56.0,0.0,top
C24,240.0,-57.02,270.0,top
C3,232.52,-52.5,0.0,top
C4,232.52,-53.5,0.0,top
C5,232.52,-54.5,0.0,top
C6,232.52,-55.5,0.0,top
C7,232.52,-56.5,0.0,top
C8,232.52,-57.5,0.0,top
C9,232.52,-58.5,0.0,top
D1,256.0,-77.0,270.0,top
D10,271.0,-77.0,270.0,top
D100,268.0,-47.0,270.0,top
D101,272.5,-59.0,270.0,top
D102,271.0,-59.0,270.0,top
D103,269.5,-59.0,270.0,top
D104,268.0,-59.0,270.0,top
D105,266.5,-59.0,270.0,top
D106,265.0,-59.0,270.0,top
D107,263.5,-59.0,270.0,top
D108,262.0,-59.0,270.0,top
D109,260.5,-59.0,270.0,top
D11,269.5,-77.0,270.0,top
D110,259.0,-59.0,270.0,top
D111,257.5,-59.0,270.0,top
D112,256.0,-59.0,270.0,top
D113,266.5,-47.0,270.0,top
D114,265.0,-47.0,270.0,top
D115,263.5,-47.0,270.0,top
D116,262.0,-47.0,270.0,top
D117,272.46,-56.0,270.0,top
D118,271.0,-56.0,270.0,top
D119,269.5,-56.0,270.0,top
D12,268.0,-77.0,270.0,top
D120,268.0,-56.0,270.0,top
D121,266.5,-56.0,270.0,top
D122,265.0,-56.0,270.0,top
D123,263.5,-56.0,270.0,top
D124,262.0,-56.0,270.0,top
D125,260.5,-56.0,270.0,top
D126,259.0,-56.0,270.0,top
D127,257.5,-56.0,270.0,top
D128,256.0,-56.0,270.0,top
D129,260.5,-47.0,270.0,top
D13,256.0,-53.0,270.0,top
D130,259.0,-47.0,270.0,top
D131,257.5,-47.0,270.0,top
D132,256.0,-47.0,270.0,top
D133,272.5,-44.0,270.0,top
D134,271.0,-44.0,270.0,top
D135,269.5,-44.0,270.0,top
D136,268.0,-44.0,270.0,top
D137,266.5,-44.0,270.0,top
D138,265.0,-44.0,270.0,top
D139,263.5,-44.0,270.0,top
D14,257.5,-53.0,270.0,top
D140,262.0,-44.0,270.0,top
D141,260.5,-44.0,270.0,top
D142,259.0,-44.0,270.0,top
D143,257.5,-44.0,270.0,top
D144,256.0,-44.0,270.0,top
D15,260.5,-53.0,270.0,top
D16,259.0,-53.0,270.0,top
D17,266.5,-53.0,270.0,top
D18,265.0,-53.0,270.0,top
D19,263.5,-53.0,270.0,top
D2,257.5,-77.0,270.0,top
D20,262.0,-53.0,270.0,top
D21,272.5,-74.0,270.0,top
D22,271.0,-74.0,270.0,top
D23,269.5,-74.0,270.0,top
D24,268.0,-74.0,270.0,top
D25,266.5,-74.0,270.0,top
D26,265.0,-74.0,270.0,top
D27,263.5,-74.0,270.0,top
D28,262.0,-74.0,270.0,top
D29,260.5,-74.0,270.0,top
D3,259.0,-77.0,270.0,top
D30,259.0,-74.0,270.0,top
D31,257.5,-74.0,270.0,top
D32,256.0,-74.0,270.0,top
D33,266.5,-50.0,270.0,top
D34,265.0,-50.0,270.0,top
D35,263.5,-50.0,270.0,top
D36,262.0,-50.0,270.0,top
D37,272.5,-71.0,270.0,top
D38,271.0,-71.0,270.0,top
D39,269.5,-71.0,270.0,top
D4,260.5,-77.0,270.0,top
D40,268.0,-71.0,270.0,top
D41,266.5,-71.0,270.0,top
D42,265.0,-71.0,270.0,top
D43,263.5,-71.0,270.0,top
D44,262.0,-71.0,270.0,top
D45,260.5,-71.0,270.0,top
D46,259.0,-71.0,270.0,top
D47,257.5,-71.0,270.0,top
D48,256.0,-71.0,270.0,top
D49,260.5,-50.0,270.0,top
D5,266.5,-77.0,270.0,top
D50,259.0,-50.0,270.0,top
D51,257.5,-50.0,270.0,top
D52,256.0,-50.0,270.0,top
D53,272.5,-68.0,270.0,top
D54,271.0,-68.0,270.0,top
