Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,10u,
"C10, C13",0402,2,1u,
"C11, C12, C14",0402,3,100n,
"C15, C16",0402,2,15p,
"C17, C19, C20",0402,3,0.1uF,
C18,0402,1,22uF,
"C21, C22, C23, C24",0402,4,0.47uF,
"C3, C4, C5, C6, C7, C8, C9",0402,7,100nF,
"D1, D10, D100, D101, D102, D103, D104, D105, D106, D107, D108, D109, D11, D110, D111, D112, D113, D114, D115, D116, D117, D118, D119, D12, D120, D121, D122, D123, D124, D125, D126, D127, D128, D129, D13, D130, D131, D132, D133, D134, D135, D136, D137, D138, D139, D14, D140, D141, D142, D143, D144, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D85, D86, D87, D88, D89, D9, D90, D91, D92, D93, D94, D95, D96, D97, D98, D99",0402,144,LED,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
J2,PinSocket_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
J3,PinHeader_1x13_P1.00mm_Vertical_SMD_Pin1Left,1,Conn_01x13_Pin,
J4,PinHeader_1x06_P1.00mm_Vertical_SMD_Pin1Left,1,Conn_01x06_Pin,
J5,PinHeader_1x04_P1.00mm_Vertical_SMD_Pin1Left,1,Conn_01x04_Pin,
J6,PinHeader_1x03_P1.00mm_Vertical_SMD_Pin1Left,1,Conn_01x03_Pin,
"R1, R2",0402,2,5.1k,
"R10, R6, R7",0402,3,100k,
R11,0402,1,10k,
R15,0402,1,1k,
"R3, R4",0402,2,27.4,
R5,0402,1,20k,
"R8, R9",0402,2,4.7k,
SW1,SW_SPST_SKQG_WithoutStem,1,Switch,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,
U3,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
U4,QFN-40-1EP_5x5mm_P0.4mm_EP3.8x3.8mm,1,IS31FL3737,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,
