Designator,Mid X,Mid Y,Rotation,Layer
C1,249.571295,-70.955733,180.0,top
C10,262.183633,-74.005475,180.0,top
C11,265.118843,-64.72397,90.0,top
C12,267.428914,-74.901739,315.0,top
C13,263.929564,-74.839655,270.0,top
C14,260.44752,-69.178553,180.0,top
C15,265.784812,-63.268251,0.0,top
C16,272.778258,-60.17258,180.0,top
C17,243.647524,-53.413529,0.0,top
C18,246.271847,-56.013183,315.0,top
C19,248.487628,-44.477716,225.0,top
C2,251.832127,-64.424931,270.0,top
C20,243.448211,-52.393002,0.0,top
C21,244.622235,-49.956691,315.0,top
C22,248.16891,-46.42835,270.0,top
C23,243.633728,-54.344718,0.0,top
C24,246.586113,-54.356572,45.0,top
C3,271.333878,-72.734091,0.0,top
C4,261.243718,-73.0,180.0,top
C5,266.851533,-76.35634,270.0,top
C6,271.335645,-68.838827,0.0,top
C7,265.925501,-74.891918,270.0,top
C8,267.106679,-64.734888,90.0,top
C9,266.18103,-64.714393,90.0,top
D1,256.217177,-58.06062,225.0,top
D10,271.196015,-58.032951,225.0,top
D100,268.157053,-43.342947,225.0,top
D101,272.522854,-49.266341,225.0,top
D102,271.157053,-49.263236,225.0,top
D103,269.657053,-49.342947,225.0,top
D104,268.157053,-49.342947,225.0,top
D105,266.657053,-49.342947,225.0,top
D106,265.157053,-49.342947,225.0,top
D107,263.657053,-49.342947,225.0,top
D108,262.157053,-49.342947,225.0,top
D109,260.657053,-49.342947,225.0,top
D11,269.692427,-58.029846,225.0,top
D110,259.157053,-49.342947,225.0,top
D111,257.657053,-49.342947,225.0,top
D112,256.157053,-49.342947,225.0,top
D113,266.657053,-43.342947,225.0,top
D114,265.157053,-43.342947,225.0,top
D115,263.657053,-43.342947,225.0,top
D116,262.157053,-43.342947,225.0,top
D117,272.518431,-47.80709,225.0,top
D118,271.157053,-47.842947,225.0,top
D119,269.657053,-47.842947,225.0,top
D12,268.228966,-58.023422,225.0,top
D120,268.157053,-47.842947,225.0,top
D121,266.657053,-47.842947,225.0,top
D122,265.157053,-47.842947,225.0,top
D123,263.657053,-47.842947,225.0,top
D124,262.157053,-47.842947,225.0,top
D125,260.657053,-47.842947,225.0,top
D126,259.157053,-47.842947,225.0,top
D127,257.657053,-47.842947,225.0,top
D128,256.157053,-47.842947,225.0,top
D129,260.657053,-43.342947,225.0,top
D13,256.157053,-46.342947,225.0,top
D130,259.157053,-43.342947,225.0,top
D131,257.657053,-43.342947,225.0,top
D132,256.157053,-43.342947,225.0,top
D133,272.5,-41.985,225.0,top
D134,271.063242,-41.916878,225.0,top
D135,269.657053,-41.842947,225.0,top
D136,268.157053,-41.842947,225.0,top
D137,266.657053,-41.842947,225.0,top
D138,265.157053,-41.842947,225.0,top
D139,263.657053,-41.842947,225.0,top
D14,257.657053,-46.342947,225.0,top
D140,262.157053,-41.842947,225.0,top
D141,260.657053,-41.842947,225.0,top
D142,259.157053,-41.842947,225.0,top
